id,vibration,latitude,longitude,speed,timestamp
20,0.0,52.51655625674263,13.441118127407972,20.0,2022-07-30 12:00:00
21,0.0,52.51655625674263,13.441118127407972,20.0,2022-07-30 12:00:00
22,0.0,52.51655625674263,13.441118127407972,20.0,2022-07-30 12:00:00
23,0.0,52.51655625674263,13.441118127407972,20.0,2022-07-30 12:00:00
24,0.0,52.51655625674263,13.441118127407972,20.0,2022-07-30 12:00:00
25,10.0,52.51655625674263,13.441118127407972,20.0,2022-07-30 12:00:00
26,10.0,52.51655625674263,13.441118127407972,20.0,2022-07-30 12:00:00
27,10.0,52.51655625674263,13.441118127407972,20.0,2022-07-30 12:00:00
28,50.0,52.51655625674263,13.441118127407972,20.0,2022-07-30 12:00:00
29,50.0,52.51655625674263,13.441118127407972,20.0,2022-07-30 12:00:00
30,50.0,52.51655625674263,13.441118127407972,20.0,2022-07-30 12:00:00
